b.year,rho,var_rho,se_rho
1976,0.296,0.00123,0.035
1977,0.308,0.00116,0.034
1978,0.317,0.00084,0.029
1979,0.313,0.00078,0.028
1980,0.302,0.000676,0.026
1981,0.316,0.000841,0.029
1982,0.331,0.0009,0.03
1983,0.344,0.000961,0.031
1984,0.355,0.000961,0.031
1985,0.37,0.001156,0.034
1986,0.372,0.001296,0.036
1987,0.38,0.00116,0.034
1988,0.387,0.00073,0.027
1989,0.397,0.0009,0.03
1990,0.386,0.00096,0.031
1991,0.406,0.00116,0.034
1992,0.415,0.00144,0.038
1993,0.431,0.00176,0.042
1994,0.449,0.00185,0.043
1995,0.454,0.00203,0.045
1996,0.496,0.00185,0.043
1997,0.651,0.00137,0.037
1998,0.707,0.00123,0.035
1999,0.722,0.00102,0.032
2000,0.714,0.00096,0.031
2001,0.719,0.00096,0.031
2002,0.715,0.00063,0.025
2003,0.726,0.00058,0.024
2004,0.744,0.00029,0.017
2005,0.752,0.00058,0.024
2006,0.753,0.00073,0.027
2007,0.777,0.00063,0.025
2008,0.766,0.00078,0.028
2009,0.765,0.0009,0.03
2010,0.776,0.0009,0.03
2011,0.78835,0.00079,0.02808
2012,0.79569,0.0008,0.02834
2013,0.80309,0.00082,0.0286
2014,0.81057,0.00083,0.02887
2015,0.81811,0.00085,0.02914
2016,0.82572,0.00086,0.02941
2017,0.83341,0.00088,0.02968
2018,0.84116,0.0009,0.02996
2019,0.84899,0.00091,0.03024
